IncidentID,EquipmentID,EquipmentName,IncidentDate,IncidentTime,IncidentType,Category,Severity,Description,Location,ReportedBy,Shift,PersonnelInvolved,InjuryType,ImmediateAction,RootCause,CorrectiveAction,Status,DaysLost
INC-00001,BF001,Bag Filter,2024-11-16,10:15,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-1,Operator-1,A,0,Minor,"First aid administered, ambulance called",Environmental Factor,PPE compliance reinforced,Open,19
INC-00002,JC001,Jaw Crusher,2024-10-01,02:21,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Stockyard,Shift Incharge,C,1,None,"Area cordoned off, ERT informed",Design Defect,Re-training scheduled,Investigating,0
INC-00003,PU001,Centrifugal Pump,2024-04-20,21:12,Near Miss,Safety,Low,Wrench fell from pump platform,Silo Area,Operator-1,B,5,Minor,"First aid administered, ambulance called",Environmental Factor,Sensor calibration done,Open,22
INC-00004,VRM001,Vertical Roller Mill,2024-05-22,10:01,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Stockyard,Shift Incharge,B,2,None,Spill contained with absorbent,Inadequate Inspection,Re-training scheduled,Closed,0
INC-00005,VRM001,Vertical Roller Mill,2024-08-08,15:59,Foreign Object,Process,Low,Metal piece detected in separator,Unit-1,Operator-1,C,1,Minor,Spill contained with absorbent,Inadequate Inspection,Procedure updated,Closed,25
INC-00006,ENG001,Cummins Engine,2023-04-17,16:24,Exhaust Leak,Safety,Medium,CO detected near engine room,Unit-1,Operator-1,B,2,Major,"Production stopped, supervisor informed",Environmental Factor,Procedure updated,Investigating,24
INC-00007,BE001,Bucket Elevator,2024-09-24,18:27,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Power House,Shift Incharge,B,3,None,"First aid administered, ambulance called",Human Error,Sensor calibration done,Investigating,0
INC-00008,BM001,Ball Mill,2024-05-10,08:16,Worker Slip,Safety,Low,Worker slipped near lubrication point,Unit-1,Operator-1,B,0,Minor,Fire extinguisher deployed,Equipment Aging,Procedure updated,Closed,18
INC-00009,BE001,Bucket Elevator,2024-01-21,05:41,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Unit-1,Safety Officer,A,4,Minor,"Area cordoned off, ERT informed",Equipment Aging,Frequency of inspection increased,Closed,17
INC-00010,VRM001,Vertical Roller Mill,2023-01-14,04:26,Foreign Object,Process,Low,Metal piece detected in separator,Power House,Maintenance Engineer,B,3,None,"Production stopped, supervisor informed",Inadequate Inspection,Procedure updated,Open,0
INC-00011,BE001,Bucket Elevator,2024-06-30,18:16,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Stockyard,Operator-2,B,0,None,Spill contained with absorbent,Procedural Lapse,PPE compliance reinforced,Investigating,0
INC-00012,BF001,Bag Filter,2024-09-01,02:18,Confined Space Hazard,Safety,High,Worker entered without gas test,Silo Area,Shift Incharge,A,1,Minor,"Production stopped, supervisor informed",Inadequate Inspection,Sensor calibration done,Investigating,6
INC-00013,BF001,Bag Filter,2023-05-12,06:33,Confined Space Hazard,Safety,High,Worker entered without gas test,Silo Area,Safety Officer,C,1,Minor,"Area cordoned off, ERT informed",Material Failure,Frequency of inspection increased,Open,13
INC-00014,BE001,Bucket Elevator,2024-05-07,05:40,Dust Explosion Risk,Safety,High,Hot spot detected in casing,Unit-2,Maintenance Engineer,B,3,Minor,Fire extinguisher deployed,Procedural Lapse,Procedure updated,Open,19
INC-00015,PU001,Centrifugal Pump,2023-08-06,16:04,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Stockyard,Maintenance Engineer,B,4,Minor,Spill contained with absorbent,Design Defect,Re-training scheduled,Closed,13
INC-00016,AC001,Air Compressor,2024-03-16,17:32,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Unit-2,Safety Officer,B,5,Major,"Equipment isolated, LOTO applied",Procedural Lapse,PPE compliance reinforced,Closed,1
INC-00017,BE001,Bucket Elevator,2023-05-30,12:43,Dust Explosion Risk,Safety,High,Hot spot detected in casing,Unit-1,Operator-1,C,5,None,Fire extinguisher deployed,Environmental Factor,PPE compliance reinforced,Closed,0
INC-00018,JC001,Jaw Crusher,2024-03-14,22:20,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Stockyard,Safety Officer,B,4,None,"Production stopped, supervisor informed",Procedural Lapse,PPE compliance reinforced,Open,0
