InspectionID,EquipmentID,EquipmentName,InspectionDate,Inspector,InspectionType,Checkpoints,Readings,Result,Findings,Recommendations,NextInspectionDate,Status
INS-00001,BE001,Bucket Elevator,2024-09-28,Safety-Team,Quarterly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 38.2 mm/s | Belt Slippage: 13.5 mm/s | Bearing Temp: 58.3 °C | Drive Current: 41.8 A | Take-up Position: 49.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-09-28,Completed
INS-00002,PU001,Centrifugal Pump,2023-10-19,Third-Party-Auditor,Monthly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 59.6 bar | Vibration: 54.3 mm/s | Seal Condition: 36.7 mm/s | Bearing Temp: 55.0 °C | Motor Amps: 62.6 A,Pass,All parameters within normal range,Continue routine monitoring,2023-10-26,Completed
INS-00003,BE001,Bucket Elevator,2024-12-27,QA-Team,Monthly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 41.5 mm/s | Belt Slippage: 59.1 mm/s | Bearing Temp: 55.2 °C | Drive Current: 73.0 A | Take-up Position: 80.7 mm/s,Fail,Critical deviation in Chain Tension,"Immediate maintenance required, equipment taken offline",2025-01-03,Action Pending
INS-00004,RK001,Rotary Kiln,2024-07-12,Safety-Team,Monthly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 15.4 °C | Burning Zone Temp: 17.6 °C | Drive Torque: 36.6 mm/s | Tyre Migration: 48.7 mm/s | ID Fan Draft: 42.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-07-12,Completed
INS-00005,RK001,Rotary Kiln,2023-03-02,Production-Team,Weekly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 83.8 °C | Burning Zone Temp: 16.3 °C | Drive Torque: 81.2 mm/s | Tyre Migration: 55.8 mm/s | ID Fan Draft: 28.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-04-01,Completed
INS-00006,BC001,Belt Conveyor,2023-11-30,QA-Team,Monthly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 11.1 mm/s | Idler Condition: 78.7 mm/s | Belt Tension: 55.5 mm/s | Motor Amps: 23.5 A | Slip Detection: 86.6 mm/s,Conditional Pass,Minor deviation in Belt Alignment,Schedule follow-up within 7 days,2023-12-01,Action Pending
INS-00007,ENG001,Cummins Engine,2023-02-10,Maintenance-Team,Quarterly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 37.5 bar | Coolant Temp: 73.7 °C | Battery Voltage: 20.1 mm/s | Exhaust Temp: 30.6 °C | RPM: 87.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-03-12,Completed
INS-00008,BC001,Belt Conveyor,2024-05-15,Production-Team,Monthly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 54.7 mm/s | Idler Condition: 10.6 mm/s | Belt Tension: 20.7 mm/s | Motor Amps: 18.5 A | Slip Detection: 20.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-05-16,Completed
INS-00009,PU001,Centrifugal Pump,2024-06-29,Production-Team,Weekly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 85.3 bar | Vibration: 78.9 mm/s | Seal Condition: 50.2 mm/s | Bearing Temp: 86.5 °C | Motor Amps: 27.7 A,Pass,All parameters within normal range,Continue routine monitoring,2024-07-29,Completed
INS-00010,BC001,Belt Conveyor,2023-12-30,Maintenance-Team,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 68.3 mm/s | Idler Condition: 12.5 mm/s | Belt Tension: 11.3 mm/s | Motor Amps: 55.3 A | Slip Detection: 57.8 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-12-29,Completed
INS-00011,PU001,Centrifugal Pump,2024-04-10,QA-Team,Annual,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 71.9 bar | Vibration: 89.8 mm/s | Seal Condition: 81.6 mm/s | Bearing Temp: 11.1 °C | Motor Amps: 28.5 A,Pass,All parameters within normal range,Continue routine monitoring,2024-05-10,Completed
