WorkOrderID,EquipmentID,EquipmentName,MaintenanceDate,MaintenanceType,FailureMode,RootCause,ActionTaken,SparePartsUsed,Technician,Downtime_Hours,Cost_INR,Priority,Status,Comments
WO-00001,RK001,Rotary Kiln,2024-06-20,Emergency,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Anil,25,271136,Low,Pending,Awaiting spare parts
WO-00002,AC001,Air Compressor,2023-04-05,Corrective,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Ravi,13,283491,High,In Progress,Awaiting spare parts
WO-00003,JC001,Jaw Crusher,2023-06-12,Predictive,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Ajay,12,368255,Critical,Pending,Job closed as per standard checklist
WO-00004,VRM001,Vertical Roller Mill,2023-02-15,Predictive,Gearbox Noise,Gear Wear,Inspect & Replace Gear Oil,Gear Oil ISO VG 320,Ravi,8,74014,Low,Pending,Job closed as per standard checklist
WO-00005,AC001,Air Compressor,2024-02-11,Preventive,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Priya,37,63101,Critical,Pending,Job closed as per standard checklist
WO-00006,JC001,Jaw Crusher,2023-03-16,Corrective,Flywheel Misalignment,Belt Wear,Replace V-Belts,V-Belt C-180,Mahesh,5,285182,Medium,Deferred,Job closed as per standard checklist
WO-00007,ENG001,Cummins Engine,2024-03-03,Routine,Alternator Fault,Diode Failure,Replace Alternator Diode,Diode Assembly,Rahul,23,169156,High,Deferred,Awaiting spare parts
WO-00008,JC001,Jaw Crusher,2023-11-21,Predictive,Flywheel Misalignment,Belt Wear,Replace V-Belts,V-Belt C-180,Suresh,25,420185,High,Pending,Job closed as per standard checklist
WO-00009,RK001,Rotary Kiln,2023-01-15,Preventive,Tyre Migration,Shell Deformation,Adjust Tyre Lubrication,Graphite Lubricant,Kiran,3,243053,Critical,Pending,Job closed as per standard checklist
WO-00010,RK001,Rotary Kiln,2023-01-18,Emergency,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Priya,8,270118,Low,Completed,Job closed as per standard checklist
WO-00011,AC001,Air Compressor,2023-07-30,Preventive,Pressure Loss,Valve Leakage,Replace Intake Valve,Intake Valve Kit,Ravi,14,383087,Critical,Deferred,Job closed as per standard checklist
WO-00012,ENG001,Cummins Engine,2024-02-21,Predictive,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Ravi,18,147227,Critical,Completed,Awaiting spare parts
WO-00013,RK001,Rotary Kiln,2023-04-07,Routine,Support Roller Wear,Uneven Load,Regrind Support Roller,—,Kiran,27,35086,Medium,Pending,Job closed as per standard checklist
WO-00014,BC001,Belt Conveyor,2023-07-22,Emergency,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Rahul,30,226616,Critical,Completed,Job closed as per standard checklist
WO-00015,BC001,Belt Conveyor,2023-12-27,Emergency,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Rahul,12,494383,Critical,Completed,Job closed as per standard checklist
WO-00016,BF001,Bag Filter,2023-08-30,Routine,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Kiran,2,146415,Low,Completed,Job closed as per standard checklist
WO-00017,BM001,Ball Mill,2023-09-24,Predictive,Grinding Media Wear,Excessive Operation,Replace Grinding Media (3.5 Tons),High Chrome Grinding Balls,Ravi,17,312280,Medium,In Progress,Job closed as per standard checklist
WO-00018,AC001,Air Compressor,2023-08-18,Corrective,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Kiran,6,297908,Critical,In Progress,Job closed as per standard checklist
WO-00019,AC001,Air Compressor,2023-07-22,Emergency,Pressure Loss,Valve Leakage,Replace Intake Valve,Intake Valve Kit,Ravi,12,316578,Low,Deferred,Awaiting spare parts
WO-00020,AC001,Air Compressor,2023-07-02,Emergency,Temperature Rise,Cooling Problem,Clean Cooler & Replace Coolant,Coolant 20L,Priya,39,464291,Medium,Pending,Job closed as per standard checklist
WO-00021,AC001,Air Compressor,2023-09-30,Routine,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Ravi,15,177660,High,Pending,Job closed as per standard checklist
WO-00022,JC001,Jaw Crusher,2024-09-17,Corrective,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Rahul,10,494540,High,Pending,Job closed as per standard checklist
WO-00023,VRM001,Vertical Roller Mill,2024-06-23,Routine,Gearbox Noise,Gear Wear,Inspect & Replace Gear Oil,Gear Oil ISO VG 320,Mahesh,37,191447,Medium,Pending,Job closed as per standard checklist
WO-00024,JC001,Jaw Crusher,2023-10-27,Emergency,High Vibration,Loose Mounting,Tighten Foundation Bolts,—,Anil,31,216471,High,Completed,Job closed as per standard checklist
WO-00025,ENG001,Cummins Engine,2023-08-02,Predictive,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Ravi,42,353815,Critical,Completed,Awaiting spare parts
WO-00026,BC001,Belt Conveyor,2023-07-31,Preventive,Drive Motor Trip,Overload,Check Motor & Reduce Load,—,Ravi,34,404038,High,In Progress,Awaiting spare parts
WO-00027,BE001,Bucket Elevator,2023-11-22,Predictive,Chain Wear,Fatigue,Replace Chain (Dual Strand),Elevator Chain P=400,Mahesh,34,367216,High,In Progress,Job closed as per standard checklist
WO-00028,JC001,Jaw Crusher,2023-04-05,Emergency,High Vibration,Loose Mounting,Tighten Foundation Bolts,—,Rahul,37,297138,Medium,Pending,Job closed as per standard checklist
WO-00029,PU001,Centrifugal Pump,2023-03-12,Corrective,Bearing Noise,Bearing Wear,Replace Bearings,SKF 6310 Bearing,Anil,45,128338,Critical,Deferred,Job closed as per standard checklist
WO-00030,BF001,Bag Filter,2024-09-04,Routine,Fan Failure,Bearing Fault,Replace Fan Bearings,SKF 22220 Bearing,Kiran,35,485179,Critical,Deferred,Job closed as per standard checklist
WO-00031,AC001,Air Compressor,2024-02-09,Predictive,Temperature Rise,Cooling Problem,Clean Cooler & Replace Coolant,Coolant 20L,Ajay,2,219965,Critical,Pending,Job closed as per standard checklist
WO-00032,AC001,Air Compressor,2023-12-29,Routine,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Suresh,47,182085,Low,Completed,Job closed as per standard checklist
WO-00033,BE001,Bucket Elevator,2023-10-02,Predictive,Chain Wear,Fatigue,Replace Chain (Dual Strand),Elevator Chain P=400,Priya,44,399452,Medium,In Progress,Job closed as per standard checklist
WO-00034,BC001,Belt Conveyor,2023-05-16,Corrective,Idler Jam,Bearing Failure,Replace Idler Roller,Carrying Idler,Ravi,1,115498,Low,Completed,Job closed as per standard checklist
WO-00035,PU001,Centrifugal Pump,2024-08-22,Corrective,Bearing Noise,Bearing Wear,Replace Bearings,SKF 6310 Bearing,Kiran,28,312943,Low,Deferred,Job closed as per standard checklist
WO-00036,PU001,Centrifugal Pump,2023-10-23,Emergency,Seal Leakage,Seal Wear,Replace Mechanical Seal,Mechanical Seal Type-21,Suresh,25,390966,Low,In Progress,Job closed as per standard checklist
WO-00037,PU001,Centrifugal Pump,2023-06-26,Preventive,Vibration,Shaft Misalignment,Perform Laser Alignment,—,Mahesh,9,439621,Critical,Completed,Job closed as per standard checklist
WO-00038,PU001,Centrifugal Pump,2024-05-24,Routine,Bearing Noise,Bearing Wear,Replace Bearings,SKF 6310 Bearing,Ravi,40,19526,Low,Deferred,Job closed as per standard checklist
WO-00039,VRM001,Vertical Roller Mill,2023-01-05,Corrective,Table Liner Wear,Abrasion,Replace Table Liner Segment,Liner Segment,Mahesh,47,260652,Critical,In Progress,Job closed as per standard checklist
WO-00040,ENG001,Cummins Engine,2024-09-17,Predictive,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Mahesh,34,173167,Medium,Pending,Awaiting spare parts
WO-00041,JC001,Jaw Crusher,2024-04-25,Corrective,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Rahul,45,184881,Critical,Deferred,Job closed as per standard checklist
WO-00042,RK001,Rotary Kiln,2023-02-01,Emergency,Drive System Failure,Gear Wear,Inspect Drive & Replace Pinion,Kiln Pinion Gear,Rahul,33,219022,Low,Deferred,Job closed as per standard checklist
WO-00043,BF001,Bag Filter,2023-07-13,Predictive,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Ravi,46,163784,High,In Progress,Job closed as per standard checklist
WO-00044,BF001,Bag Filter,2024-09-01,Predictive,Fan Failure,Bearing Fault,Replace Fan Bearings,SKF 22220 Bearing,Suresh,38,313267,Medium,Deferred,Job closed as per standard checklist
WO-00045,ENG001,Cummins Engine,2023-11-16,Predictive,Battery Failure,Low Voltage,Replace Battery Bank,Battery 12V 200Ah,Priya,6,61833,High,Completed,Job closed as per standard checklist
WO-00046,BC001,Belt Conveyor,2023-06-26,Preventive,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Mahesh,10,150039,Critical,In Progress,Job closed as per standard checklist
WO-00047,JC001,Jaw Crusher,2023-12-23,Routine,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Anil,25,485069,Low,In Progress,Awaiting spare parts
WO-00048,BC001,Belt Conveyor,2023-06-28,Routine,Belt Misalignment,Roller Issue,Adjust Rollers & Training Idlers,Training Idler,Kiran,34,279228,Low,Pending,Awaiting spare parts
WO-00049,JC001,Jaw Crusher,2024-07-28,Emergency,Motor Failure,Electrical Fault,Rewind Motor,Motor 75 kW,Priya,24,455239,High,Deferred,Job closed as per standard checklist
WO-00050,RK001,Rotary Kiln,2024-07-28,Emergency,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Kiran,40,252341,Critical,Completed,Awaiting spare parts
WO-00051,VRM001,Vertical Roller Mill,2023-02-25,Routine,Roller Wear,High Material Load,Replace Roller Tyre,Roller Tyre Assembly,Suresh,45,229265,Medium,In Progress,Awaiting spare parts
WO-00052,BC001,Belt Conveyor,2023-05-05,Predictive,Idler Jam,Bearing Failure,Replace Idler Roller,Carrying Idler,Ravi,33,60518,Low,Completed,Job closed as per standard checklist
WO-00053,AC001,Air Compressor,2024-03-17,Corrective,Unloader Fault,Pressure Switch Failure,Replace Pressure Switch,Pressure Switch,Kiran,34,457536,Low,Pending,Job closed as per standard checklist
WO-00054,BE001,Bucket Elevator,2023-11-12,Emergency,Belt Slippage,Tension Loss,Adjust Take-up Weight,—,Priya,21,369146,Medium,In Progress,Job closed as per standard checklist
WO-00055,AC001,Air Compressor,2024-02-21,Preventive,Oil Leakage,Seal Failure,Replace Oil Seal,Oil Seal 60x80x10,Ravi,33,467401,Critical,Completed,Job closed as per standard checklist
WO-00056,BM001,Ball Mill,2023-03-15,Preventive,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Priya,11,438623,Medium,Pending,Job closed as per standard checklist
WO-00057,JC001,Jaw Crusher,2024-05-07,Emergency,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Ravi,30,184112,Low,Deferred,Job closed as per standard checklist
WO-00058,JC001,Jaw Crusher,2023-06-09,Corrective,Flywheel Misalignment,Belt Wear,Replace V-Belts,V-Belt C-180,Kiran,45,139073,Low,In Progress,Awaiting spare parts
WO-00059,BC001,Belt Conveyor,2023-06-02,Emergency,Belt Misalignment,Roller Issue,Adjust Rollers & Training Idlers,Training Idler,Rahul,45,430903,Critical,Pending,Job closed as per standard checklist
WO-00060,VRM001,Vertical Roller Mill,2024-03-03,Corrective,Roller Wear,High Material Load,Replace Roller Tyre,Roller Tyre Assembly,Suresh,48,493845,Low,Deferred,Awaiting spare parts
WO-00061,ENG001,Cummins Engine,2024-08-02,Predictive,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Anil,32,428675,High,Deferred,Job closed as per standard checklist
WO-00062,ENG001,Cummins Engine,2024-08-26,Routine,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Priya,13,159486,High,In Progress,Job closed as per standard checklist
WO-00063,BM001,Ball Mill,2023-03-04,Preventive,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Ravi,28,269412,Low,In Progress,Job closed as per standard checklist
WO-00064,JC001,Jaw Crusher,2023-04-16,Routine,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Anil,30,273739,Medium,Deferred,Job closed as per standard checklist
